iter	Passed	Remaining
712	31971	416432
713	32000	416180
714	32021	415837
715	32047	415537
716	32067	415178
717	32088	414822
718	32112	414508
719	32136	414201
720	32160	413887
721	32188	413631
722	32212	413328
723	32242	413100
724	32266	412786
725	32294	412538
726	32317	412209
727	32344	411950
728	32374	411718
729	32410	411565
730	32447	411436
731	32490	411365
732	32529	411252
733	32583	411329
734	32627	411289
735	32666	411169
736	32706	411077
737	32753	411058
738	32796	411005
739	32834	410877
740	32869	410711
741	32900	410507
742	32939	410392
743	32990	410434
744	33040	410460
745	33086	410436
746	33125	410316
747	33161	410175
748	33197	410028
749	33242	409996
750	33290	409987
751	33331	409904
752	33381	409936
753	33413	409734
754	33458	409697
755	33495	409569
756	33535	409473
757	33575	409375
758	33614	409266
759	33654	409163
760	33700	409146
761	33752	409191
762	33791	409087
763	33841	409108
764	33875	408943
765	33919	408895
766	33974	408976
767	34017	408919
768	34072	408999
769	34138	409218
770	34185	409201
771	34225	409105
772	34263	408987
773	34304	408907
774	34359	408994
775	34400	408904
776	34438	408787
777	34473	408634
778	34506	408449
779	34551	408419
780	34636	408849
781	34669	408679
782	34699	408463
783	34730	408266
784	34753	407968
785	34779	407711
786	34804	407439
787	34836	407248
788	34883	407242
789	34923	407144
790	34953	406930
791	34986	406763
792	35019	406593
793	35070	406621
794	35112	406559
795	35164	406597
796	35219	406678
797	35277	406796
798	35327	406821
799	35384	406927
800	35430	406893
801	35475	406860
802	35505	406652
803	35533	406425
804	35562	406206
805	35589	405969
806	35617	405737
807	35641	405470
808	35668	405232
809	35695	404984
810	35731	404851
811	35761	404655
812	35796	404508
813	35823	404270
814	35861	404153
815	35890	403948
816	35921	403756
817	35958	403633
818	35990	403448
819	36024	403295
820	36058	403144
821	36096	403029
822	36127	402845
823	36156	402633
824	36187	402453
825	36214	402222
826	36242	401997
827	36268	401758
828	36297	401549
829	36327	401354
830	36363	401226
831	36401	401118
832	36461	401250
833	36501	401162
834	36542	401096
835	36592	401112
836	36637	401090
837	36677	401000
838	36717	400920
839	36747	400722
840	36774	400498
841	36802	400279
842	36830	400063
843	36863	399903
844	36892	399706
845	36918	399473
846	36945	399248
847	36970	399000
848	36995	398762
849	37024	398552
850	37050	398322
851	37077	398100
852	37101	397851
853	37131	397664
854	37160	397465
855	37190	397277
856	37216	397050
857	37243	396835
858	37267	396575
859	37294	396365
860	37334	396281
861	37370	396164
862	37402	395997
863	37430	395791
864	37463	395638
865	37497	395503
866	37527	395319
867	37561	395178
868	37591	394990
869	37621	394813
870	37654	394657
871	37691	394546
872	37724	394398
873	37760	394279
874	37795	394150
875	37839	394115
876	37881	394063
877	37909	393856
878	37936	393651
879	37962	393426
880	37986	393189
881	38011	392956
882	38037	392733
883	38063	392515
884	38088	392288
885	38119	392119
886	38149	391942
887	38179	391766
888	38205	391549
889	38230	391322
890	38254	391093
891	38280	390873
892	38307	390665
893	38337	390490
894	38365	390302
895	38389	390069
896	38413	389828
897	38435	389576
898	38456	389317
899	38477	389047
900	38498	388791
901	38520	388531
902	38541	388272
903	38560	387991
904	38580	387722
905	38598	387430
906	38615	387138
907	38635	386868
908	38654	386587
909	38676	386340
910	38696	386071
911	38715	385793
912	38734	385522
913	38752	385239
914	38771	384964
915	38792	384703
916	38810	384422
917	38829	384149
918	38849	383884
919	38870	383638
920	38901	383483
921	38938	383385
922	38968	383225
923	38998	383064
924	39027	382895
925	39054	382697
926	39080	382498
927	39103	382268
928	39129	382069
929	39155	381873
930	39186	381718
931	39208	381480
932	39237	381319
933	39259	381074
934	39287	380901
935	39311	380679
936	39344	380553
937	39378	380430
938	39399	380187
939	39426	380003
940	39448	379773
941	39475	379580
942	39497	379352
943	39523	379160
944	39548	378951
945	39573	378753
946	39601	378575
947	39630	378408
948	39658	378240
949	39687	378076
950	39714	377891
951	39742	377722
952	39769	377537
953	39794	377338
954	39826	377205
955	39854	377037
956	39882	376860
957	39920	376789
958	39960	376728
959	40005	376716
960	40047	376677
961	40115	376883
962	40176	377021
963	40214	376951
964	40252	376873
965	40283	376726
966	40311	376558
967	40339	376395
968	40371	376258
969	40400	376100
970	40426	375910
971	40455	375757
972	40483	375585
973	40519	375490
974	40545	375307
975	40570	375106
976	40595	374918
977	40621	374730
978	40647	374545
979	40671	374341
980	40699	374181
981	40725	373994
982	40749	373796
983	40777	373625
984	40800	373418
985	40825	373227
986	40851	373045
987	40882	372911
988	40913	372772
989	40939	372589
990	40965	372414
991	40992	372237
992	41018	372054
993	41045	371887
994	41067	371668
995	41095	371508
996	41123	371352
997	41146	371140
998	41173	370970
999	41200	370801
1000	41224	370611
1001	41246	370397
1002	41270	370203
1003	41296	370022
1004	41321	369835
1005	41346	369649
1006	41371	369466
1007	41394	369263
1008	41419	369079
1009	41446	368914
1010	41488	368880
1011	41512	368691
1012	41557	368688
1013	41602	368680
1014	41641	368622
1015	41676	368525
1016	41712	368442
1017	41743	368312
1018	41777	368209
1019	41814	368132
1020	41843	367987
1021	41872	367842
1022	41896	367649
1023	41925	367506
1024	41957	367379
1025	41986	367242
1026	42017	367108
1027	42043	366935
1028	42072	366799
1029	42105	366687
1030	42136	366560
1031	42159	366363
1032	42182	366163
1033	42213	366037
1034	42256	366022
1035	42302	366018
1036	42335	365916
1037	42362	365755
1038	42387	365574
1039	42420	365472
1040	42448	365314
1041	42475	365160
1042	42500	364980
1043	42529	364839
1044	42557	364694
1045	42583	364522
1046	42606	364333
1047	42628	364127
1048	42647	363908
1049	42667	363688
1050	42687	363471
1051	42705	363241
1052	42723	363010
1053	42743	362795
1054	42762	362567
1055	42781	362343
1056	42801	362130
1057	42821	361918
1058	42840	361693
1059	42859	361479
1060	42879	361264
1061	42900	361059
1062	42920	360849
1063	42941	360642
1064	42961	360431
1065	42981	360225
1066	43006	360057
1067	43027	359855
1068	43051	359673
1069	43075	359495
1070	43099	359320
1071	43121	359129
1072	43141	358926
1073	43165	358748
1074	43184	358532
1075	43207	358347
1076	43226	358136
1077	43248	357941
1078	43274	357789
1079	43301	357634
1080	43324	357454
1081	43342	357233
1082	43365	357055
1083	43383	356832
1084	43409	356677
1085	43432	356495
1086	43455	356315
1087	43477	356129
1088	43498	355933
1089	43520	355748
1090	43540	355546
1091	43563	355370
1092	43591	355233
1093	43623	355124
1094	43659	355060
1095	43692	354961
1096	43730	354910
1097	43766	354838
1098	43811	354836
1099	43838	354695
1100	43874	354625
1101	43914	354584
1102	43945	354475
1103	43971	354321
1104	43999	354186
1105	44022	354008
1106	44052	353893
1107	44071	353686
1108	44101	353565
1109	44128	353427
1110	44158	353305
1111	44187	353179
1112	44220	353086
1113	44253	352994
1114	44280	352854
1115	44313	352758
1116	44334	352573
1117	44360	352427
1118	44381	352233
1119	44405	352068
1120	44425	351876
1121	44448	351702
1122	44468	351511
1123	44490	351332
1124	44510	351140
1125	44529	350939
1126	44552	350765
1127	44573	350579
1128	44595	350404
1129	44614	350204
1130	44634	350008
1131	44655	349830
1132	44675	349633
1133	44698	349468
1134	44727	349346
1135	44771	349342
1136	44809	349293
1137	44844	349221
1138	44882	349171
1139	44927	349176
1140	44965	349124
1141	45014	349161
1142	45054	349121
1143	45091	349064
1144	45127	349001
1145	45162	348922
1146	45203	348900
1147	45228	348751
1148	45259	348642
1149	45285	348501
1150	45308	348336
1151	45330	348163
1152	45355	348015
1153	45386	347909
1154	45412	347769
1155	45436	347613
1156	45462	347469
1157	45492	347358
1158	45518	347222
1159	45542	347062
1160	45570	346937
1161	45597	346808
1162	45618	346631
1163	45639	346454
1164	45662	346290
1165	45682	346109
1166	45702	345921
1167	45724	345750
1168	45744	345571
1169	45764	345384
1170	45783	345191
1171	45802	345000
1172	45820	344808
1173	45841	344630
1174	45859	344433
1175	45879	344253
1176	45897	344057
1177	45916	343866
1178	45935	343679
1179	45958	343519
1180	45981	343364
1181	46005	343211
1182	46031	343075
1183	46058	342946
1184	46084	342813
1185	46111	342688
1186	46135	342535
1187	46160	342397
1188	46185	342251
1189	46211	342123
1190	46250	342083
1191	46292	342066
1192	46334	342050
1193	46358	341904
1194	46385	341776
1195	46408	341623
1196	46437	341512
1197	46459	341346
1198	46483	341199
1199	46505	341038
1200	46531	340908
1201	46553	340747
1202	46578	340607
1203	46599	340438
1204	46622	340289
1205	46645	340132
1206	46668	339982
1207	46691	339828
1208	46713	339670
1209	46734	339500
1210	46755	339334
1211	46777	339174
1212	46797	338999
1213	46817	338828
1214	46836	338652
1215	46855	338468
1216	46877	338311
1217	46898	338148
1218	46920	337989
1219	46942	337829
1220	46963	337666
1221	46982	337492
1222	47001	337314
1223	47022	337149
1224	47046	337006
1225	47068	336850
1226	47089	336686
1227	47109	336518
1228	47137	336404
1229	47171	336338
1230	47204	336263
1231	47241	336213
1232	47288	336235
1233	47327	336198
1234	47361	336131
1235	47389	336017
1236	47415	335895
1237	47446	335807
1238	47476	335706
1239	47502	335585
1240	47532	335483
1241	47568	335431
1242	47596	335319
1243	47621	335188
1244	47646	335057
1245	47675	334954
1246	47703	334840
1247	47733	334743
1248	47764	334656
1249	47795	334565
1250	47823	334455
1251	47844	334303
1252	47867	334159
1253	47889	334002
1254	47910	333847
1255	47932	333694
1256	47953	333538
1257	47974	333377
1258	47995	333221
1259	48014	333054
1260	48037	332910
1261	48058	332753
1262	48080	332602
1263	48103	332461
1264	48129	332340
1265	48156	332227
1266	48180	332094
1267	48206	331973
1268	48231	331844
1269	48253	331693
1270	48277	331558
1271	48297	331399
1272	48320	331258
1273	48345	331134
1274	48373	331024
1275	48399	330909
1276	48427	330798
1277	48459	330723
1278	48489	330633
1279	48519	330539
1280	48553	330471
1281	48578	330348
1282	48603	330223
1283	48625	330077
1284	48648	329937
1285	48672	329807
1286	48697	329682
1287	48720	329546
1288	48748	329438
1289	48773	329317
1290	48803	329226
1291	48833	329137
1292	48859	329019
1293	48888	328918
1294	48920	328844
1295	48946	328729
1296	48974	328622
1297	49002	328520
1298	49028	328403
1299	49055	328292
1300	49078	328159
1301	49102	328027
1302	49123	327877
1303	49146	327741
1304	49169	327607
1305	49191	327469
1306	49220	327369
1307	49253	327304
1308	49287	327241
1309	49315	327140
1310	49340	327014
1311	49369	326920
1312	49392	326788
1313	49414	326644
1314	49438	326516
1315	49461	326387
1316	49482	326237
1317	49507	326115
1318	49533	326007
1319	49559	325889
1320	49586	325782
1321	49611	325662
1322	49638	325560
1323	49670	325484
1324	49698	325387
1325	49728	325299
1326	49754	325188
1327	49783	325093
1328	49809	324983
1329	49832	324848
1330	49857	324729
1331	49887	324640
1332	49915	324541
1333	49939	324419
1334	49966	324315
1335	49993	324208
1336	50024	324132
1337	50049	324010
1338	50079	323929
1339	50107	323829
